year,caseid,birthyr,gender4,sexuality,race,educ,comptype,votereg,inputstate,region,361,cit1,immstat,urbancity,ideo5,child18,employ,investor,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,marstat,union,unionhh,ownhome,newsint,faminc_new,milstat_1,milstat_2,milstat_3,milstat_4,healthins_1,healthins_2,healthins_3,healthins_4,healthins_5,healthins_6
24,1237434895,2,1,1,1,2,3,1,48,3,6.0,1.0,4,2,3,2,1.0,2.0,2,1,6.0,1,1,1,3,3,1,1,5,2,2,2,2,2,2,2,2,2,1
24,1245174043,1,2,1,1,6,3,1,37,3,5.0,1.0,5,3,2,2,5.0,1.0,2,4,6.0,7,11,3,3,3,1,1,8,2,2,2,2,2,1,2,2,2,2
24,1243945363,3,2,1,1,6,3,1,6,4,6.0,1.0,5,2,1,2,1.0,1.0,2,4,4.0,7,10,1,3,3,1,1,12,2,2,2,2,1,2,2,2,2,2
24,1243753477,1,2,1,1,5,3,1,25,1,6.0,1.0,4,1,3,2,5.0,2.0,2,1,1.0,1,2,5,3,3,2,2,2,2,2,2,1,2,1,2,2,2,2
24,1243803349,2,1,1,1,3,3,1,17,2,6.0,1.0,5,2,4,2,5.0,1.0,1,1,3.0,3,1,1,3,3,1,2,9,2,2,2,1,1,1,2,2,2,2
24,1237439219,2,1,1,1,2,3,1,36,1,5.0,1.0,5,4,5,2,5.0,1.0,2,1,5.0,6,1,1,2,2,1,1,5,2,2,1,2,2,1,2,2,2,2
24,1234894013,2,1,1,1,5,3,1,23,1,6.0,1.0,5,4,2,2,1.0,1.0,2,4,6.0,7,2,5,3,3,1,1,9,2,2,2,2,2,1,2,2,2,2
24,1235567517,1,1,1,2,3,3,1,4,4,6.0,1.0,5,2,2,2,5.0,1.0,2,3,6.0,6,12,1,2,3,1,1,97,2,2,1,2,1,1,2,2,2,2
24,1255849423,1,1,1,1,3,1,1,48,3,6.0,1.0,1,2,2,2,5.0,1.0,2,4,6.0,7,9,1,3,3,1,1,97,2,2,2,2,2,1,2,2,2,2
24,1258265901,3,1,1,2,3,3,1,13,3,6.0,1.0,5,1,4,2,6.0,2.0,1,1,1.0,3,1,1,3,3,1,1,97,2,2,1,2,2,1,2,2,2,2
24,1236141841,4,2,1,1,2,2,2,48,3,2.0,1.0,5,4,4,2,1.0,2.0,1,1,5.0,1,1,5,3,3,2,4,1,2,2,2,2,1,2,2,2,2,2
24,1236779385,4,2,1,1,4,1,1,42,1,4.0,1.0,5,4,5,2,1.0,1.0,2,1,2.0,1,2,1,3,3,1,1,9,2,2,2,1,1,2,2,2,2,2
24,1243909695,2,2,1,1,3,3,1,30,4,6.0,1.0,5,4,5,2,5.0,2.0,2,2,6.0,3,1,1,3,3,1,2,4,2,2,2,2,2,1,2,2,2,2
24,1236892749,2,2,1,1,6,2,1,41,4,6.0,1.0,4,3,2,2,5.0,2.0,1,3,5.0,3,12,3,3,3,1,1,2,2,2,2,1,2,1,2,2,2,2
24,1238324063,2,2,1,1,2,3,1,29,2,6.0,1.0,5,1,1,2,5.0,1.0,2,4,6.0,7,10,1,1,2,1,1,5,2,2,2,1,2,1,2,2,2,2
24,1234831387,2,2,1,1,6,1,1,47,3,5.0,1.0,5,2,4,2,5.0,1.0,2,2,4.0,5,1,1,3,3,1,1,10,2,2,2,2,1,2,2,2,2,2
24,1235705031,4,1,1,1,6,1,1,17,2,6.0,1.0,5,3,3,1,1.0,1.0,2,2,2.0,5,1,1,3,3,1,1,11,2,2,2,2,1,2,2,2,2,2
24,1232359235,2,2,1,1,6,3,1,23,1,6.0,1.0,4,4,1,2,5.0,1.0,2,4,6.0,7,10,1,3,3,1,1,10,2,2,2,1,2,1,2,1,2,2
24,1243765823,3,1,1,1,5,1,1,29,2,6.0,1.0,5,1,3,2,5.0,2.0,2,4,6.0,7,9,1,2,2,1,1,5,2,2,1,1,1,2,2,2,2,2
24,1240921211,4,2,1,3,6,3,1,12,3,6.0,1.0,1,2,2,2,1.0,2.0,2,4,6.0,7,9,5,3,3,3,1,12,2,2,2,2,1,2,2,2,2,2
