,caseid,community,match_rate
513,1240696189,7,1.0
514,1242284785,7,1.0
515,1235836851,15,0.9
516,1243838111,12,0.9
517,1235109509,4,1.0
518,1235207747,8,1.0
519,1242915801,6,1.0
520,1247688065,5,1.0
521,1240146051,10,1.0
522,1236332791,9,0.8
523,1241970909,11,1.0
524,1243715167,7,1.0
525,1249979101,8,1.0
526,1236920355,12,1.0
527,1237905023,12,1.0
528,1236929981,12,1.0
529,1243820857,4,1.0
530,1237959947,13,0.9
531,1238914163,0,0.8
532,1239544219,2,
533,1239577167,8,1.0
534,1242822445,2,1.0
535,1236637001,11,1.0
536,1239079247,8,1.0
537,1240401991,12,1.0
538,1243911119,4,0.9
539,1239242651,14,1.0
540,1239074513,12,1.0
541,1235013139,13,0.8
542,1234643055,14,1.0
543,1232569053,3,1.0
544,1239039145,14,1.0
545,1245198373,7,1.0
546,1239551787,5,1.0
547,1238341347,12,1.0
548,1248596865,6,1.0
549,1235034125,9,1.0
550,1242878115,5,1.0
551,1238129837,5,1.0
552,1239122361,1,1.0
553,1237030297,6,1.0
554,1242452567,10,1.0
555,1238169969,2,0.9
556,1234986171,8,1.0
557,1232811757,2,1.0
558,1235539425,2,1.0
559,1236689735,2,1.0
560,1236713601,6,1.0
561,1237757409,6,1.0
562,1240331151,4,1.0
563,1251661885,11,1.0
564,1239165847,8,1.0
565,1243988791,14,1.0
566,1235850683,6,1.0
567,1237025177,0,1.0
568,1235723131,13,0.9
569,1243329461,2,1.0
570,1242413807,12,1.0
571,1237656963,8,1.0
572,1236987199,11,1.0
573,1238081725,13,1.0
574,1251887279,6,1.0
575,1234754671,1,1.0
576,1241982357,0,1.0
577,1243531269,5,1.0
578,1237030193,8,0.9
579,1236337555,5,0.9
580,1250737383,4,1.0
581,1238280109,15,0.9
582,1235370643,14,1.0
583,1238388083,5,1.0
584,1239081537,3,0.9
585,1235734243,2,0.9
586,1236959411,0,1.0
587,1249919809,1,1.0
588,1255787573,1,1.0
589,1236658681,7,1.0
590,1240555317,11,0.9
591,1234766523,10,0.8888888888888888
592,1236889921,13,
593,1236390521,1,0.8
594,1237269687,1,0.8
595,1235764463,5,1.0
596,1239433275,0,1.0
597,1235849905,14,1.0
598,1236647941,1,1.0
599,1232511423,6,1.0
600,1250388311,11,1.0
601,1237531005,7,1.0
602,1237562253,8,1.0
603,1238336969,9,0.9
604,1243767127,8,1.0
605,1236482523,0,1.0
606,1245059367,6,0.9
607,1236454383,3,1.0
608,1236076897,8,1.0
609,1239993731,15,1.0
610,1239118373,10,0.9
611,1235371865,10,1.0
